date,time,room,link,speaker,affiliation,title
"January 22, 2026",1:00 PM,GHC 4405,https://cmu.zoom.us,Fabian Pieroth,Technical University of Munich,Equilibrium Learning – Towards Understanding Algorithmic Markets
"February 11, 2026",2:00 PM,GHC 8102,https://cmu.zoom.us,Ratip Emin Berker and Emanuel Tewolde,Carnegie Mellon University,On the Edge of Core (Non-)Emptiness: An Automated Reasoning Approach to Approval-Based Multi-Winner Voting
"February 25, 2026",2:00 PM,GHC 8102,https://cmu.zoom.us,Yanru Guan,Peking University,Ex-Ante Truthful Distribution-Reporting Mechanisms
"March 18, 2026",2:00 PM,GHC 8102,https://cmu.zoom.us,Emily Diana,Carnegie Mellon University,Minimax Group Fairness in Strategic Classification
"March 25, 2026",2:00 PM,GHC 8102,https://cmu.zoom.us,Madeline Kitch,Carnegie Mellon University,Learning What Evaluators' Value: A Reliable Approach to Modeling Evaluator Preferences
"April 8, 2026",2:00 PM,GHC 8102,https://cmu.zoom.us,Mario Günther,Panthéon Sorbonne,Equal Say as Sum Normalization
"April 15, 2026",2:00 PM,GHC 8102,https://cmu.zoom.us,Itai Zilberstein,Carnegie Mellon University,Near-Optimal Dynamic Matching via Coarsening with Application to Heart Transplantation
"June 24, 2026",2:30 PM,GHC 9115,https://cmu.zoom.us,Tao Lin,Microsoft Research,Information Design with Large Language Models
